method,d,r,subspace_error_mean,subspace_error_se,rank_hat_mean,rank_recovery,queries
cross_adaptive,10,2,0.06773134094466741,0.004139741937671385,2.0,1.0,6400.0
cross_adaptive,10,4,0.08428334736164587,0.0044653160769336,4.0,1.0,6400.0
cross_adaptive,20,2,0.13338015453835123,0.005666011418419834,2.0,1.0,12800.0
cross_adaptive,20,4,0.1835322183081593,0.009931984587139108,4.0,1.0,12800.0
cross_adaptive,40,2,0.25559565021494496,0.08298085585926705,1.9,0.9,25600.0
cross_adaptive,40,4,0.2307375731957011,0.008154629620219254,4.0,1.0,25600.0
cross_known_rank,10,2,0.06773134094466741,0.004139741937671385,2.0,1.0,6400.0
cross_known_rank,10,4,0.08428334736164587,0.0044653160769336,4.0,1.0,6400.0
cross_known_rank,20,2,0.13338015453835123,0.005666011418419834,2.0,1.0,12800.0
cross_known_rank,20,4,0.1835322183081593,0.009931984587139108,4.0,1.0,12800.0
cross_known_rank,40,2,0.17262524132349324,0.006684427610148236,2.0,1.0,25600.0
cross_known_rank,40,4,0.2307375731957011,0.008154629620219254,4.0,1.0,25600.0
