method,n_anchors,mean,se,ci95
cross,80,0.44054238864910855,0.03104266621749778,0.060843625786295645
cross,160,0.2870823876576631,0.017270115745831476,0.03384942686182969
cross,320,0.18197897186850137,0.008152621810297009,0.015979138748182138
cross,640,0.14110902248129908,0.008416208602260352,0.01649576886043029
cross,1280,0.09723835608240947,0.005150944331617728,0.010095850889970746
cross,2560,0.06636017543716373,0.0033071031151436516,0.006481922105681557
cross,5120,0.046772363993741316,0.0018898491650485654,0.003704104363495188
outer,80,0.21774733498630078,0.013635152622612348,0.026724899140320203
outer,160,0.1346267660342413,0.005877906996441423,0.011520697713025189
outer,320,0.10391822198949016,0.004514559749626109,0.008848537109267174
outer,640,0.06755829874291,0.0023325257795624933,0.004571750527942487
outer,1280,0.050969728507327096,0.0024866043276101537,0.004873744482115901
outer,2560,0.03427947478379758,0.0013203298867776967,0.0025878465780842853
outer,5120,0.023669534012989598,0.0012680845389561467,0.0024854456963540475
outer_trace,80,0.20828950656541306,0.009506704698477676,0.018633141209016244
outer_trace,160,0.13495099723493914,0.008650204059937848,0.016954399957478182
outer_trace,320,0.10125027956082074,0.0056183992629148865,0.011012062555313177
outer_trace,640,0.0643038082462142,0.002743333535762326,0.005376933730094159
outer_trace,1280,0.047712018942385435,0.0020961938402376174,0.0041085399268657305
outer_trace,2560,0.03396194933580969,0.0013549754281196626,0.0026557518391145387
outer_trace,5120,0.02251815969238489,0.0008554582375868946,0.0016766981456703134
