benchmark,method,median_regret
ellipsoid,cross_block_adaptive,0.4520119996499442
ellipsoid,cross_block_known,0.35915131373140835
ellipsoid,cross_sparse_known,0.3283071108766999
ellipsoid,full_zo,0.19618819930720244
ellipsoid,oracle_subspace,0.21280149702005516
ellipsoid,random_subspace,0.3577715112433022
rastrigin,cross_block_adaptive,1.0062097105189878
rastrigin,cross_block_known,1.0061585561799582
rastrigin,cross_sparse_known,0.9961969388527958
rastrigin,full_zo,0.5067461745456932
rastrigin,oracle_subspace,1.0070252545272336
rastrigin,random_subspace,0.5065295644083107
rosenbrock,cross_block_adaptive,0.0943351024586488
rosenbrock,cross_block_known,0.0596356236924811
rosenbrock,cross_sparse_known,0.18164534482340974
rosenbrock,full_zo,0.025812145380636302
rosenbrock,oracle_subspace,0.0353922159866718
rosenbrock,random_subspace,0.2368911059908223
sphere,cross_block_adaptive,0.0038690309808324
sphere,cross_block_known,0.005111876326677501
sphere,cross_sparse_known,0.00222756327021065
sphere,full_zo,0.0050333979916794
sphere,oracle_subspace,0.0018887165922768499
sphere,random_subspace,0.0064261035728134
