benchmark,tau,method,median_regret,q25_regret,q75_regret,mean_log10_regret,median_rank,median_subspace_error,queries
ellipsoid,0.02,cross_block_adaptive,0.2045601957850226,0.1568675725690969,0.2659833827976476,-0.7041433771309907,1.0,1.0,3999.0
ellipsoid,0.02,cross_block_known,0.0938271888236763,0.076741391249224,0.2088556155025894,-0.9347860780249204,2.0,0.2023068327336307,3999.0
ellipsoid,0.02,cross_sparse_known,0.1793736666582747,0.0718249506879296,0.2743740988396512,-0.8323086954815858,2.0,0.9561842413934292,3999.0
ellipsoid,0.02,full_zo,0.1503473443081197,0.0682145625018304,0.374949878063424,-0.8457560309885525,12.0,1.0,3999.0
ellipsoid,0.02,oracle_subspace,0.1035115114839222,0.074896617303534,0.1427540436088665,-0.8749609196173358,2.0,0.0,3999.0
ellipsoid,0.02,random_subspace,0.3977056257801632,0.178855532834872,0.6055313912360487,-0.3766699063045588,2.0,0.9901494766736167,3999.0
rastrigin,0.02,cross_block_adaptive,1.0218918506332932,0.0522634748042465,1.0341321218891442,-0.5391747020286466,2.0,0.0083597593794449,3999.0
rastrigin,0.02,cross_block_known,0.5594223347953794,0.0485626969936099,1.0493128660232487,-0.6496288884489203,2.0,0.0069171360525535,3999.0
rastrigin,0.02,cross_sparse_known,0.5493753948310753,0.0393225628310398,1.0486167570439513,-0.6810038985773563,2.0,0.4099981757855864,3999.0
rastrigin,0.02,full_zo,0.0561791887866195,0.0339802660032612,1.037258398813695,-0.862277513693799,12.0,1.0,3999.0
rastrigin,0.02,oracle_subspace,0.0531302723423735,0.0368208182679383,1.0332103609062588,-0.8405579282308594,2.0,7.450580596923828e-09,3999.0
rastrigin,0.02,random_subspace,0.6154182490665974,0.051115901000934,1.0476256387067409,-0.5883778975713114,2.0,0.972147488198816,3999.0
rosenbrock,0.02,cross_block_adaptive,0.186196409156879,0.1102815454733588,2.399826405988032,-0.2859245593308224,2.0,0.0026610689563421,3999.0
rosenbrock,0.02,cross_block_known,0.1247668929919023,0.0818326681376803,0.3168338866495792,-0.8137920328713323,2.0,0.0021703737956418,3999.0
rosenbrock,0.02,cross_sparse_known,0.3514256504127997,0.2118612914593913,0.6469353352375301,-0.3986093874390059,2.0,0.9729516171253402,3999.0
rosenbrock,0.02,full_zo,0.1076455984342197,0.0693964507978438,0.2912596277268773,-0.9007254138415248,12.0,1.0,3999.0
rosenbrock,0.02,oracle_subspace,0.0970360092950768,0.0657661487949252,0.2324921090415437,-0.922868998486571,2.0,1.4901161193847656e-08,3999.0
rosenbrock,0.02,random_subspace,0.5490423889053816,0.268962678964378,1.4216892894975586,-0.1410629075291615,2.0,0.9980106544351964,3999.0
sphere,0.02,cross_block_adaptive,0.0376680705341655,0.0317026037553663,0.0513380701830018,-1.3765654971173416,3.0,1.0,3999.0
sphere,0.02,cross_block_known,0.036426345468939,0.0331472698973848,0.0535756645191536,-1.3874058370172762,2.0,0.288007565415829,3999.0
sphere,0.02,cross_sparse_known,0.044118099330147,0.0343479144566964,0.0564422728961949,-1.350545760434262,2.0,0.7943553206777194,3999.0
sphere,0.02,full_zo,0.0480791948888957,0.038706589485436,0.0509486308919939,-1.3512664322910073,12.0,1.0,3999.0
sphere,0.02,oracle_subspace,0.0416730865888043,0.0358039048060398,0.0539301839363347,-1.3814279049172722,2.0,1.4901161193847656e-08,3999.0
sphere,0.02,random_subspace,0.1095976455386767,0.0532769425150419,0.2006205863510721,-0.9117003160405136,2.0,0.9959652281613804,3999.0
