benchmark,tau,method,n,mean_log10_regret_difference_vs_full,ci95_low,ci95_high,win_rate
ellipsoid,0.0,cross_block_adaptive,10,0.3039674763026767,0.1679039930368123,0.444446473235367,0.0
ellipsoid,0.0,cross_block_known,10,-0.0602417009732624,-0.5332092620994275,0.3382915225583697,0.4
ellipsoid,0.0,cross_sparse_known,10,0.3257944447370275,0.1911750239715752,0.4694096584745863,0.1
ellipsoid,0.0,oracle_subspace,10,0.0022822675651411,-0.2403211820456769,0.2289304668752993,0.5
ellipsoid,0.0,random_subspace,10,0.3236851940078385,0.0469324723370963,0.5917832342862793,0.2
ellipsoid,0.02,cross_block_adaptive,10,0.1416126538575616,-0.0364846329725436,0.3366713404180235,0.3
ellipsoid,0.02,cross_block_known,10,-0.0890300470363679,-0.3402514895960372,0.1904754733415919,0.7
ellipsoid,0.02,cross_sparse_known,10,0.0134473355069666,-0.1343606747066743,0.1875973236275941,0.5
ellipsoid,0.02,oracle_subspace,10,-0.0292048886287834,-0.2288293241411457,0.1567926940481472,0.5
ellipsoid,0.02,random_subspace,10,0.4690861246839935,0.1715585101118308,0.7673391157298842,0.2
rastrigin,0.0,cross_block_adaptive,10,0.2886671100957344,-0.044904079578914,0.7378695737700264,0.2
rastrigin,0.0,cross_block_known,10,0.4047258377898818,0.0728103485961621,0.8430435241449713,0.2
rastrigin,0.0,cross_sparse_known,10,0.2935802537968561,-0.1243218989393086,0.7859794810501218,0.2
rastrigin,0.0,oracle_subspace,10,0.4175631569844353,-0.0365399330274238,1.0029730931352938,0.2
rastrigin,0.0,random_subspace,10,-0.1406066599616722,-0.3562679667144431,0.1105483613442963,0.6
rastrigin,0.02,cross_block_adaptive,10,0.3231028116651522,0.033907960222224,0.67989261044041,0.4
rastrigin,0.02,cross_block_known,10,0.2126486252448786,0.0334487795555765,0.4637974187347441,0.3
rastrigin,0.02,cross_sparse_known,10,0.1812736151164425,0.0345698017415291,0.4142728956761487,0.0
rastrigin,0.02,oracle_subspace,10,0.0217195854629396,-0.0435968171221141,0.0949266137181354,0.6
rastrigin,0.02,random_subspace,10,0.2738996161224876,0.0434784611227823,0.5596797868448717,0.4
rosenbrock,0.0,cross_block_adaptive,10,0.3160051938456742,-0.0444645120405073,0.7172708464213994,0.2
rosenbrock,0.0,cross_block_known,10,0.1692937384632371,0.0226354136972204,0.3308751759141041,0.3
rosenbrock,0.0,cross_sparse_known,10,0.810462143974773,0.5397263025231174,1.1128163465906378,0.0
rosenbrock,0.0,oracle_subspace,10,0.0169683853611986,-0.1521208334174146,0.1820731668468064,0.3
rosenbrock,0.0,random_subspace,10,0.7691776095823761,0.4957597620283446,1.050027652211983,0.0
rosenbrock,0.02,cross_block_adaptive,10,0.6148008545107025,0.1873475600148797,1.1257052619044925,0.1
rosenbrock,0.02,cross_block_known,10,0.0869333809701927,0.0503502343736739,0.1290358674818924,0.0
rosenbrock,0.02,cross_sparse_known,10,0.502116026402519,0.2742355850329214,0.720894012806408,0.1
rosenbrock,0.02,oracle_subspace,10,-0.0221435846450461,-0.0828890404709049,0.0403479305391493,0.5
rosenbrock,0.02,random_subspace,10,0.7596625063123635,0.3095735697881777,1.208102407523619,0.2
sphere,0.0,cross_block_adaptive,10,-0.113422583423158,-0.6658133969692165,0.4642330852527311,0.6
sphere,0.0,cross_block_known,10,0.0454667184312224,-0.4582053415170475,0.5528325487467313,0.5
sphere,0.0,cross_sparse_known,10,-0.1463745835031251,-0.5479553378019246,0.2941413070957547,0.6
sphere,0.0,oracle_subspace,10,-0.2199138192365429,-0.7716364389546997,0.3377999796390969,0.6
sphere,0.0,random_subspace,10,0.3385941931441903,0.0649719160189092,0.6138482086942072,0.2
sphere,0.02,cross_block_adaptive,10,-0.0252990648263342,-0.159027268532708,0.1466649181585723,0.6
sphere,0.02,cross_block_known,10,-0.0361394047262691,-0.165758940002313,0.1095673962205651,0.5
sphere,0.02,cross_sparse_known,10,0.0007206718567453,-0.1367241482220875,0.1395023921359153,0.5
sphere,0.02,oracle_subspace,10,-0.030161472626265,-0.1583709052617179,0.1028894503625884,0.5
sphere,0.02,random_subspace,10,0.4395661162504934,0.1978921746570182,0.6960552249285914,0.2
